date,twilight_window,n_candidates,n_planned,unique_targets_observed,repeat_fraction,sum_time_s,dp_time_s,backfill_time_s,window_cap_s,swap_count,internal_filter_changes,filter_change_s_total,inter_exposure_guard_s,inter_exposure_guard_count,mean_slew_s,median_airmass,loaded_filters,filters_used_csv,window_start_utc,window_end_utc,window_duration_s,window_mid_utc,sun_alt_mid_deg,policy_filters_mid_csv,window_utilization,cap_utilization,cap_source,median_sky_mag_arcsec2,median_alt_deg,cad_median_abs_err_by_filter_csv,cad_within_pct_by_filter_csv,cad_median_abs_err_all_d,cad_within_pct_all,quota_assigned,n_candidates_pre_cap,n_candidates_post_cap
2023-01-24,morning,65,45,45,0.0,881.4,881.4,0.0,900,0,0,0.0,361.2,44,6.639441173987081,1.3258209918741781,"g,r,i,z",g,2023-01-25T09:07:00+00:00,2023-01-25T09:22:00+00:00,900,2023-01-25T09:14:30+00:00,-10.58,"r,i,g,z",0.9794,0.9794,window_duration,18.645379542568993,48.9,g:0.0,g:92.1,0.003,92.1,499,65,65
2023-01-25,evening,64,41,41,0.0,808.0,767.9,40.1,900,0,0,0.0,301.5,38,7.3050282084743134,1.1784501146833148,"g,r,i,z",z,2023-01-26T00:28:00+00:00,2023-01-26T00:43:00+00:00,900,2023-01-26T00:35:30+00:00,-10.58,"r,i,g,z",0.8977,0.8977,window_duration,16.28021632412046,58.0,z:0.0,z:74.4,0.002,74.4,500,64,64
2023-01-25,morning,64,41,41,0.0,803.6,763.6,40.0,900,0,0,0.0,313.6,39,7.01391767125709,1.2816410787264165,"g,r,i,z",r,2023-01-26T09:08:00+00:00,2023-01-26T09:23:00+00:00,900,2023-01-26T09:15:30+00:00,-10.59,"r,i,g,z",0.8929,0.8929,window_duration,18.99134249299974,51.22,r:0.0,r:94.1,0.003,94.1,499,64,64
2023-01-26,evening,59,45,45,0.0,884.9,884.9,0.0,900,0,0,0.0,374.6,44,6.342226638698776,1.0969968610761622,"g,r,i,z",g,2023-01-27T00:27:00+00:00,2023-01-27T00:42:00+00:00,900,2023-01-27T00:34:30+00:00,-10.5,"r,i,g,z",0.9833,0.9833,window_duration,18.469314624392247,65.66,g:0.0,g:76.5,0.004,76.5,517,59,59
2023-01-26,morning,63,37,37,0.0,839.8,704.2,135.6,840,1,0,120.0,279.2,35,6.929411249690794,1.233967928050594,"g,r,i,z","g,i",2023-01-27T09:10:00+00:00,2023-01-27T09:24:00+00:00,840,2023-01-27T09:17:00+00:00,-10.5,"r,i,g,z",0.9997,0.9997,window_duration,17.795587790409375,54.07,"g:1.0,i:0.0","g:100.0,i:100.0",0.003,100.0,482,63,63
2023-01-27,evening,58,41,41,0.0,804.5,704.5,100.0,840,0,0,0.0,321.9,40,6.784139500803499,1.094642143524814,"g,r,i,z",r,2023-01-28T00:27:00+00:00,2023-01-28T00:41:00+00:00,840,2023-01-28T00:34:00+00:00,-10.52,"r,i,g,z",0.9577,0.9577,window_duration,18.70379822252735,65.93,r:0.0,r:59.4,0.004,59.4,500,58,58
2023-01-27,morning,63,37,37,0.0,838.6,705.3,133.3,840,1,0,120.0,292.8,35,6.5004319372483454,1.240547830300124,"g,r,i,z","g,z",2023-01-28T09:11:00+00:00,2023-01-28T09:25:00+00:00,840,2023-01-28T09:18:00+00:00,-10.5,"r,i,g,z",0.9983,0.9983,window_duration,16.724042432596278,53.66,"g:0.0,z:0.0","g:100.0,z:100.0",0.004,100.0,499,63,63
2023-01-28,evening,60,42,42,0.0,826.3,766.3,60.0,900,0,0,0.0,338.7,41,6.577878461997438,1.151678920150783,"g,r,i,z",i,2023-01-29T00:26:00+00:00,2023-01-29T00:41:00+00:00,900,2023-01-29T00:33:30+00:00,-10.55,"r,i,g,z",0.9181,0.9181,window_duration,17.59020427439937,60.25,i:0.0,i:61.5,0.005,61.5,517,60,60
2023-01-28,morning,62,42,42,0.0,822.5,822.5,0.0,840,0,0,0.0,330.7,41,6.768102527408649,1.3125662532299305,"g,r,i,z",g,2023-01-29T09:12:00+00:00,2023-01-29T09:26:00+00:00,840,2023-01-29T09:19:00+00:00,-10.51,"r,i,g,z",0.9792,0.9792,window_duration,18.588728427568572,49.565,g:0.0,g:94.9,0.003,94.9,482,62,62
2023-01-29,evening,67,42,42,0.0,830.0,770.0,60.0,900,0,0,0.0,319.2,40,7.114810871625609,1.2075914331784183,"g,r,i,z",z,2023-01-30T00:25:00+00:00,2023-01-30T00:40:00+00:00,900,2023-01-30T00:32:30+00:00,-10.49,"r,i,g,z",0.9222,0.9222,window_duration,16.33270063047903,55.980000000000004,z:0.0,z:78.0,0.002,78.0,517,67,67
2023-01-29,morning,59,37,37,0.0,838.9,704.4,134.5,840,1,0,120.0,291.2,34,6.605231366885652,1.2421436112652138,"g,r,i,z","g,r",2023-01-30T09:13:00+00:00,2023-01-30T09:27:00+00:00,840,2023-01-30T09:20:00+00:00,-10.51,"r,i,g,z",0.9987,0.9987,window_duration,18.95516609334039,53.56,"g:9.01,r:0.0","g:0.0,r:94.1",0.004,91.4,482,59,59
2023-01-30,evening,70,42,42,0.0,824.5,824.5,0.0,840,0,0,0.0,345.7,40,6.445135920438469,1.2622183957076962,"g,r,i,z",g,2023-01-31T00:25:00+00:00,2023-01-31T00:39:00+00:00,840,2023-01-31T00:32:00+00:00,-10.52,"r,i,g,z",0.9815,0.9815,window_duration,18.277365702158843,52.335,g:0.0,g:57.1,0.002,57.1,500,70,70
